,Unnamed: 0_level_0,Unnamed: 1_level_0,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right,stick_right:Marker1,stick_right:Marker1,stick_right:Marker1,stick_right:Marker2,stick_right:Marker2,stick_right:Marker2,stick_right:Marker3,stick_right:Marker3,stick_right:Marker3,stick_right:Marker4,stick_right:Marker4,stick_right:Marker4,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left:Marker1,stick_left:Marker1,stick_left:Marker1,stick_left:Marker2,stick_left:Marker2,stick_left:Marker2,stick_left:Marker3,stick_left:Marker3,stick_left:Marker3,stick_left:Marker4,stick_left:Marker4,stick_left:Marker4,rot_velocity
,Unnamed: 0_level_1,Unnamed: 1_level_1,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,
,Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
15,4107,34.225,-0.12076532120774312,0.23984348607896572,0.21948518009205717,0.9379323510248684,0.20584864992556556,-0.36460835654600854,1.1586904931992694,0.214024,0.017871,0.8931120000000001,0.24116100000000001,0.034468,0.907331,0.181032,0.029427,0.9414790000000001,0.16105799999999998,-0.0053100000000000005,0.882001,,,,,,,,,,,,,,,,,0.8462202024661257,0.13698073561899857,0.14812332508773793,0.4931603467153658,0.11584656882483155,0.29458782153750057,1.3807383512132958,-0.482575,-0.085561,1.132785,-0.5191279999999999,-0.099061,1.063584,-0.464769,-0.086495,1.073116,-0.42446999999999996,-0.074913,1.101499,86.87827310485179
16,4108,34.233333,-0.12283292535632896,0.23949987997311672,0.22644456830291596,0.9360954745256357,0.20452303192064994,-0.36616659525588446,1.1595347541014318,0.216862,0.017327000000000002,0.8940870000000001,0.243736,0.034343,0.9083110000000001,0.18366,0.028437999999999998,0.942415,0.164257,-0.006652,0.882956,,,,,,,,,,,,,,,,,0.849931006230602,0.13256837449426384,0.14313537784631356,0.48944373970925203,0.11912056414144663,0.2893262540822835,1.3790759239236978,-0.478042,-0.082106,1.131637,-0.515444,-0.095579,1.062885,-0.46084200000000003,-0.083626,1.0718020000000001,-0.420125,-0.072367,1.0997139999999999,86.87827310485179
17,4109,34.241667,-0.12335831885386957,0.24012003826038744,0.23160293671216675,0.9346042863702678,0.20321496010092424,-0.36867554852050943,1.1602578461391426,0.220307,0.016654,0.895019,0.247013,0.03399,0.909171,0.18703,0.027558,0.943343,0.167946,-0.007906,0.8840020000000001,-0.609297,-0.74122,0.22016999999999998,0.175713,-0.042871,0.15002200000000002,0.309906,-0.00316,0.157934,0.292081,-0.049242,0.148475,0.27732399999999996,-0.076211,0.143656,0.36031399999999997,0.8531788490491234,0.1281270522054143,0.13868627863924363,0.4862462608036818,0.12240155982067658,0.28407273777752634,1.3774270315520143,-0.47352799999999995,-0.07869,1.130398,-0.511686,-0.092059,1.062042,-0.456871,-0.08071,1.070425,-0.41578000000000004,-0.069798,1.097925,87.44837729539621
18,4110,34.25,-0.12233791954056678,0.2410130271188411,0.2348908985532955,0.9336875387292712,0.20202793915609157,-0.3720829550383621,1.1610058237388778,0.22432,0.01589,0.895912,0.25096399999999996,0.03343,0.9099290000000001,0.191117,0.026763,0.9442940000000001,0.172073,-0.009013,0.885128,-0.637425,-0.766433,-0.055171000000000005,-0.0568,-0.049221,0.15429600000000002,0.308554,-0.007902,0.16225699999999998,0.322216,-0.032598,0.156851,0.279888,-0.10716300000000001,0.143779,0.323558,0.8558824566462898,0.12416659585440781,0.13459147610749456,0.48366621903772206,0.12575046533499984,0.2788246982115668,1.375667929382012,-0.46898599999999996,-0.07520800000000001,1.129026,-0.5077689999999999,-0.088474,1.0610030000000001,-0.45277799999999996,-0.077677,1.0689469999999999,-0.411379,-0.067083,1.096106,87.67664141001961
19,4111,34.258333,-0.12116915287477718,0.24205051318995705,0.23736451492840582,0.9329456964415934,0.2008909085889606,-0.37610811811635103,1.1618165128879576,0.228796,0.015090000000000001,0.8968780000000001,0.255405,0.032789,0.9107620000000001,0.195679,0.025993000000000002,0.945312,0.176624,-0.010066,0.8863219999999999,-0.577054,-0.6944560000000001,-0.32294,-0.283637,-0.059536,0.158179,0.315237,-0.03782,0.162948,0.353486,-0.028319999999999998,0.163433,0.305109,-0.11246700000000001,0.148155,0.287116,0.8580801546923917,0.11969970281759974,0.1296189934120865,0.4822544409492742,0.1291109769191636,0.2732484440241492,1.3736996095252318,-0.464442,-0.07169099999999999,1.127533,-0.5036970000000001,-0.084813,1.059754,-0.448539,-0.074671,1.067395,-0.406887,-0.064462,1.094314,87.82169685923591
20,4112,34.266667,-0.12138058974562185,0.24262965757153893,0.2399702277865403,0.932100794697547,0.19976789861745925,-0.3805134617665449,1.162776984717575,0.23366199999999998,0.014315000000000001,0.897991,0.260184,0.032181,0.9118280000000001,0.200507,0.025143000000000002,0.946415,0.181618,-0.011134999999999999,0.8875049999999999,-0.44154799999999994,-0.5294220000000001,-0.549447,-0.472076,-0.077409,0.160419,0.325288,-0.08645599999999999,0.15968,0.368588,-0.047534,0.16558399999999998,0.338905,-0.098237,0.15599200000000002,0.26837,0.8598040583398424,0.11557241399806996,0.12558505063332534,0.48125709703070435,0.13245828956346506,0.2676859326712149,1.371768090159259,-0.459812,-0.068241,1.1259379999999999,-0.49944799999999995,-0.081169,1.058343,-0.444154,-0.071615,1.065757,-0.40229699999999996,-0.061773,1.092494,87.95746384330594
21,4113,34.275,-0.12312002817555626,0.24240612308305373,0.2434285995687812,0.9310334296177963,0.19853014428394383,-0.38510929969685875,1.1639994905644349,0.238867,0.013500999999999999,0.899314,0.26522399999999996,0.031576,0.9131959999999999,0.205546,0.024072,0.947681,0.18704300000000001,-0.012359,0.8887430000000001,-0.250945,-0.29082600000000003,-0.698669,-0.603579,-0.102708,0.16134400000000002,0.332744,-0.13804,0.15628699999999998,0.358885,-0.089424,0.163294,0.363147,-0.08065900000000001,0.16445,0.2762,0.8616186949052634,0.11169103731659892,0.12013530541596154,0.4803184830563014,0.13571740970329177,0.261927296973906,1.3694791671667768,-0.455104,-0.064726,1.124261,-0.495104,-0.077599,1.05687,-0.439675,-0.06866799999999999,1.064055,-0.397619,-0.059167,1.090602,88.1755049644676
22,4114,34.283333,-0.126179725724502,0.24163192969739192,0.24768193800975055,0.929702288343176,0.19723530979423093,-0.3898443516503938,1.1654994129498988,0.244344,0.012717000000000001,0.9009030000000001,0.270464,0.031043,0.9149010000000001,0.21074299999999999,0.022886,0.9491629999999999,0.192826,-0.013659000000000001,0.890114,-0.022914,-0.015801,-0.758113,-0.651529,-0.131297,0.161704,0.33323600000000003,-0.174836,0.15529,0.32871,-0.141527,0.159685,0.364793,-0.077527,0.17013599999999998,0.306204,0.8631354890752693,0.10683534190035554,0.11489423732314465,0.4799819282533072,0.1390529296024683,0.2558757695817913,1.3671447257953906,-0.45031099999999996,-0.061211,1.122396,-0.490622,-0.07385800000000001,1.055149,-0.435062,-0.065651,1.06218,-0.392826,-0.056598,1.088596,88.10532542174583
23,4115,34.291667,-0.13024553775234832,0.23962364661352395,0.2522044908692843,0.9284446686069148,0.19607053112095102,-0.39492306770566166,1.1674673286148318,0.250226,0.012042,0.902792,0.276068,0.030611000000000003,0.9169860000000001,0.21628499999999998,0.02163,0.950932,0.19906600000000002,-0.01488,0.891655,0.207483,0.2615,-0.718643,-0.610017,-0.15723199999999998,0.162761,0.326286,-0.186574,0.158529,0.293446,-0.185632,0.15750799999999998,0.34273000000000003,-0.099489,0.172246,0.34268200000000004,0.8650864168593467,0.10173356921867584,0.10862361737550019,0.47903724490664257,0.14230872902200442,0.24964942823743735,1.3645365008201096,-0.445403,-0.057664,1.12043,-0.48612700000000003,-0.07014400000000001,1.0534,-0.43042700000000006,-0.06272799999999999,1.060194,-0.38797,-0.054138,1.086411,88.39692896654756
24,4116,34.3,-0.13466140596953652,0.23762887401444288,0.25627952116762776,0.9272106723970703,0.19498140441171535,-0.40062335400038523,1.1696940554235853,0.256637,0.011405,0.904969,0.282198,0.030191000000000003,0.919386,0.22232800000000003,0.020416999999999998,0.952959,0.20583400000000002,-0.016021,0.893433,0.411541,0.504129,-0.578857,-0.491338,-0.175553,0.16459400000000002,0.315782,-0.175604,0.16556300000000002,0.27155100000000004,-0.20749499999999999,0.158924,0.30856,-0.14356,0.169294,0.367234,0.8679310421440769,0.09628389027943546,0.10226601292212185,0.47641030756729713,0.1454509353641682,0.24337283957303946,1.36183882034329,-0.440274,-0.054188,1.118398,-0.48166899999999996,-0.06649400000000001,1.051748,-0.425813,-0.059899,1.058095,-0.38303899999999996,-0.051789999999999996,1.083949,88.56670244973058
25,4117,34.308333000000005,-0.1387307636466264,0.23586174362855855,0.2592436349178525,0.9262374160360286,0.1939875096166242,-0.4070736176843974,1.1720200469145479,0.26359499999999997,0.010739,0.9072620000000001,0.288916,0.029679,0.9218959999999999,0.22894899999999999,0.019265,0.955099,0.213088,-0.017064,0.895334,0.559775,0.680067,-0.3636,-0.303242,-0.185339,0.16796,0.307756,-0.15608,0.17390999999999998,0.275109,-0.20415899999999998,0.164464,0.280586,-0.195778,0.165507,0.36757199999999995,0.8714599656161574,0.09034063299859048,0.09615021996735577,0.47238885841849515,0.14855048395179649,0.237102729597364,1.3592139076379726,-0.43500500000000003,-0.050764,1.116388,-0.477285,-0.062829,1.050251,-0.421267,-0.057089,1.055977,-0.378102,-0.049503,1.081334,88.7700589312595
26,4118,34.316666999999995,-0.14309712710157174,0.23495590847979472,0.261628669913794,0.9251320837398572,0.19289012497247487,-0.41428849726668293,1.1742840918830808,0.27117600000000003,0.009958,0.909683,0.296259,0.029042000000000002,0.9245399999999999,0.236145,0.018099,0.957305,0.22095700000000001,-0.018179,0.897335,0.632019,0.7650640000000001,-0.099964,-0.072358,-0.18975899999999998,0.172278,0.30745,-0.146519,0.180739,0.30344699999999997,-0.185567,0.172552,0.274481,-0.23719099999999999,0.163543,0.344422,0.8753984322316528,0.08393501187622113,0.0903838274674591,0.46740053739810306,0.15159947634263443,0.23088141665061945,1.3566401783902324,-0.429683,-0.047417,1.114354,-0.472987,-0.059154,1.048824,-0.416815,-0.054301999999999996,1.0538129999999999,-0.373215,-0.047284,1.078582,88.82682856002879
27,4119,34.325,-0.1467288508214667,0.2341569183147815,0.2628767577650368,0.9244117005798222,0.191838136813606,-0.42227821351928163,1.1767370449818533,0.279339,0.009075,0.912251,0.304244,0.028234,0.927308,0.24398899999999998,0.016925,0.9596870000000001,0.22932399999999997,-0.019261,0.8995299999999999,0.622347,0.743668,0.18341300000000002,0.161249,-0.19456700000000002,0.176119,0.316486,-0.159947,0.18265399999999998,0.343246,-0.16958900000000002,0.180249,0.294954,-0.25416500000000003,0.165455,0.311258,0.879576338864503,0.07790971895245535,0.08433802560239294,0.4616953944322561,0.1545367007379143,0.22481069293039735,1.353846231544655,-0.42436999999999997,-0.044106,1.112208,-0.46876899999999994,-0.05558099999999999,1.047367,-0.412463,-0.051592,1.051541,-0.36841399999999996,-0.045106,1.075653,89.05242550340165
28,4120,34.333333,-0.14965915661750412,0.2334965685957595,0.2634312283465055,0.9239510145166757,0.19085358366027216,-0.430872993793064,1.1794665997756941,0.287993,0.008167,0.9150659999999999,0.312769,0.027361,0.930292,0.252386,0.015804,0.9623450000000001,0.23812199999999997,-0.020279,0.9020309999999999,0.526134,0.622672,0.436217,0.38102199999999997,-0.20529,0.17884,0.331929,-0.19763499999999998,0.180858,0.375456,-0.172485,0.184026,0.33316799999999996,-0.24575,0.17163499999999998,0.287162,0.8834791825298626,0.07246855961348354,0.07852846590202593,0.4561207317662586,0.15733747776916043,0.2189231515111562,1.350939788746515,-0.419133,-0.040912000000000004,1.109961,-0.464563,-0.052164999999999996,1.0458,-0.408154,-0.048973,1.049193,-0.363695,-0.042974,1.072669,89.23872954050185
29,4121,34.341667,-0.15160016062747772,0.23317200012926564,0.2639276100385086,0.9235748081843732,0.18972797025967283,-0.4398281234567355,1.1824691452922331,0.297005,0.007116,0.91815,0.32169000000000003,0.026342,0.9334819999999999,0.261227,0.014616,0.9653209999999999,0.247238,-0.021418,0.904913,0.35440900000000003,0.419418,0.634721,0.5437029999999999,-0.224034,0.18027,0.347957,-0.247466,0.17689100000000002,0.385331,-0.200742,0.184117,0.371352,-0.22389299999999998,0.179801,0.28718899999999997,0.8869991754815161,0.06718364362164227,0.07231370439791286,0.4510981588092354,0.16001102212608187,0.21311700263763983,1.3478779201133018,-0.41405699999999995,-0.037788,1.107636,-0.46041899999999997,-0.048839999999999995,1.04411,-0.403932,-0.046457,1.046804,-0.359109,-0.040943,1.0697,89.5950037065848
